
PID    COMMAND          %CPU TIME     #TH #WQ #PORTS MEM   PURG CMPRS PGRP  PPID  STATE    BOOSTS %CPU_ME %CPU_OTHRS UID    FAULTS COW  MSGSENT MSGRECV SYSBSD  SYSMACH CSW    PAGEINS IDLEW POWER INSTRS CYCLES USER     #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
30812  top              0.0  00:00.00 1/1 0   14     3520K 0B   0B    30812 3502  running  *0[0]  0.00000 0.00000    0      1633   114  741924  370961  1814    375126  74     0       0     0.0   0      0      root     N/A    N/A   N/A   N/A   N/A   N/A  
30809  Python           0.0  00:00.00 2   1   30     18M   0B   0B    30809 1     sleeping *0[0]  0.00000 0.00000    0      8435   546  116     46      5521    355     348    0       0     0.0   0      0      root     N/A    N/A   N/A   N/A   N/A   N/A  
30781  philo            0.0  00:00.00 104 0   113    4400K 0B   0B    30781 20416 sleeping *0[0]  0.00000 0.00000    101754 1472   111  59      29      1321    3272    184    9       0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
30763  plugin-container 0.0  00:00.00 15  1   87     14M   0B   0B    3092  3092  sleeping *0[0]  0.00000 0.00000    101754 9621   1777 300     74      2268    634     602    968     0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
30728  plugin-container 0.0  00:00.00 15  1   87     14M   0B   0B    3092  3092  sleeping *0[0]  0.00000 0.00000    101754 9638   1776 304     76      2635    641     487    966     0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
30722  plugin-container 0.0  00:00.00 15  1   87     14M   0B   0B    3092  3092  sleeping *0[0]  0.00000 0.00000    101754 9659   1776 303     75      2400    646     517    934     0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
30542  backupd          0.0  00:00.00 2   1   39     1556K 0B   984K  30542 1     sleeping *0[0]  0.00000 0.00000    0      2515   246  155     49      1074    310     173    89      0     0.0   0      0      root     N/A    N/A   N/A   N/A   N/A   N/A  
30458  plugin-container 0.0  00:00.00 32  1   119    227M  0B   4180K 3092  3092  sleeping *0[0]  0.00000 0.00000    101754 110066 1779 1466    513     67823   6274    18919  967     0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
30172  plugin-container 0.0  00:00.00 31  1   113    196M  0B   75M   3092  3092  sleeping *0[0]  0.00000 0.00000    101754 86751  1779 1171    338     49682   7843    14370  974     0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
29942  plugin-container 0.0  00:00.00 30  1   103    82M   0B   67M   3092  3092  sleeping *0[0]  0.00000 0.00000    101754 48375  1776 653     176     39586   2370    13578  0       0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
29752  MTLCompilerServi 0.0  00:00.00 2   1   20     15M   0B   15M   29752 1     sleeping *0[0]  0.00000 0.00000    101754 9104   230  155     47      1293    428     92     188     0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
29751  QuickLookUIServi 0.0  00:00.00 3   1   136    3656K 0B   2152K 29751 1     sleeping  0[0]  0.00000 0.00000    101754 4512   289  1245    287     2068    2988    978    64      0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
29750  com.apple.appkit 0.0  00:00.00 3   1   263    26M   0B   23M   29750 1     sleeping  0[0]  0.00000 0.00000    101754 27770  1103 7568    2522    21551   14640   5148   1387    0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
29458  cpptools-srv     0.0  00:00.00 20  0   35     18M   0B   18M   3081  1     sleeping *0[0]  0.00000 0.00000    101754 7312   1556 37      16      73375   158     7091   1803    0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
28952  bash             0.0  00:00.00 1   0   21     792K  0B   780K  28952 28951 sleeping *0[0]  0.00000 0.00000    101754 1792   771  116     48      2638    207     255    3       0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
28951  login            0.0  00:00.00 2   1   30     1116K 0B   1104K 28951 3498  sleeping *0[0]  0.00000 0.00000    0      1487   184  119     30      1856    243     157    42      0     0.0   0      0      root     N/A    N/A   N/A   N/A   N/A   N/A  
28159  WD-TabNine       0.0  00:00.00 34  1   104    12M   0B   3860K 3081  6104  sleeping *0[0]  0.00000 0.00000    101754 20101  201  15102   7105    1185361 306624  381555 101     0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
26979  bash             0.0  00:00.00 1   0   21     764K  0B   628K  26979 26978 sleeping *0[0]  0.00000 0.00000    101754 3798   1309 138     59      3387    214     217    0       0     0.0   0      0      lilizarr N/A    N/A   N/A   N/A   N/A   N/A  
26978  login            0.0  00:00.00 2   1   31     1088K 0B   1076K 26978 3498  sleeping *0[0]  0.00000 0.00000    0      1440   183  119     30      1658    244     74     0       0     0.0   0      0      root     N/A    N/A   N/A   N/A   N/A   N/A  
